# Sheet: Version November 1, 2024
Part | Section | Abbreviations in Presentation | 英文 | 中文解释
1 | Introduction | Introduction | Introduction | 介绍
Always In Long | AIL | Always In Long | 一直看多：市场处于强烈的多头趋势，交易者应一直保持多头头寸。
Small Pullback Bear Trend That Reversed Up | SPBR F | Small Pullback Bear Trend That Reversed Up | 小幅回调的熊市趋势但反转向上：在熊市中，价格出现小幅回调后未能继续下跌，而是开始上涨，表明熊市趋势可能结束。
Small Pullback Bear Leg in Trading Range Day | SPBR TRD | Small Pullback Bear Leg in Trading Range Day | 震荡日中的小幅回调熊市腿：在震荡的交易日中，价格出现了小幅回调并继续下跌，形成熊市腿。
Support and Resistance | SR | Support and Resistance | 支撑与阻力：指价格在特定水平上倾向于反转或停滞的区域，支撑是价格下跌时可能反弹的区域，阻力是价格上涨时可能遇到反压的区域。
Support and Resistance on Daily, Weekly, and Monthly Charts | SR DWM | Support and Resistance on Daily, Weekly, and Monthly Charts | 日线、周线和月线图上的支撑与阻力：在不同时间框架的图表上，价格可能会在不同时间周期的支撑和阻力水平处反转或整理。
Stairs in Bear Trend | Stairs D | Stairs in Bear Trend | 熊市中的楼梯形态：熊市中，价格表现为逐步下跌的方式，像是“楼梯”一样的下行结构，每一步下跌后有小幅反弹。
Stairs in Bull Trend and then in Bear Trend | Stairs U then D | Stairs in Bull Trend and then in Bear Trend | 牛市中的楼梯形态，然后转为熊市：价格在牛市中表现为逐步上涨（楼梯形态），然后反转为熊市，表现为逐步下跌。
Sell The Close Bear Trend | STC | Sell The Close Bear Trend | 熊市趋势中的“卖出收盘”策略：在熊市中，投资者倾向于在接近交易日结束时卖出，利用市场的下行动能。
Sell The Close Bear Trend, but Disappointment Bears | STC DBR | Sell The Close Bear Trend, but Disappointment Bears | 熊市趋势中的“卖出收盘”，但空头失望：在熊市中，尽管投资者倾向于卖出收盘，但市场没有如预期的那样继续下跌，导致空头失望。
Sell The Close Bear Trend, Disappointment Bar, but Bear Trend Continued | STC DBR F | Sell The Close Bear Trend, Disappointment Bar, but Bear Trend Continued | 熊市趋势中的“卖出收盘”，失望柱，但熊市持续：在熊市中，尽管出现了失望的卖出信号柱，但市场继续维持熊市下行趋势。
Sell The Close, but Disappointed Bears Lost Money | STC DBR Lose | Sell The Close, but Disappointed Bears Lost Money | 卖出收盘，但失望的空头亏损：在熊市中，空头投资者尝试卖出收盘，但由于市场未继续下跌，他们亏损。
Sell The Close Bear Trend With Deep Pullback | STC Deep PB | Sell The Close Bear Trend With Deep Pullback | 熊市趋势中的“卖出收盘”并伴随深度回调：在熊市中，价格出现了深度回调，但市场最终继续下行，适合卖出收盘。
Sell The Close Failed and Became Exhaustion Gap | STC EG | Sell The Close Failed and Became Exhaustion Gap | 卖出收盘失败并成为耗尽缺口：卖出收盘未能持续下跌，反而形成了一个“耗尽缺口”，通常预示着市场反转或短期休整。
Sell The Close Selloff at the End Of The Day | STC EOD | Sell The Close Selloff at the End Of The Day | 收盘时的抛售：在交易日接近尾声时，价格出现剧烈的抛售压力，表明市场的情绪可能转为悲观。
Sell The Close Selloff at the End, but started Too Early | STC EOD Too Early | Sell The Close Selloff at the End, but started Too Early | 收盘时的抛售，但开始得太早：在交易日尾声的抛售开始得太早，可能会导致错误的卖出决策，最终亏损。
Sell The Close in TR so Better to B Close of Bear Bars | STC TR so BTC | Sell The Close in TR so Better to B Close of Bear Bars | 在震荡区间内卖出收盘，因此最好是在空头柱的收盘时卖出：在横盘整理（TR）区间内，空头柱的收盘价可能是较好的卖出时机。
Stopped Out of a Trade | Stopped Out | Stopped Out of a Trade | 被止损出局：交易者设定的止损点被触及，导致交易被平仓。
Stopped Out of a Trade and then Reverse | Stopped Out and Reverse | Stopped Out of a Trade and then Reverse | 被止损出局后反转：交易者被止损出局后，价格反转并开始朝着最初的预期方向运动。
Stop, Breakeven | Stop Breakeven | Stop, Breakeven | 止损，保本：当价格回到开盘价，交易者设定的止损点被触及但没有亏损，最终平仓时能够保本。
In B The Close, Stop 4 - 8 Ticks below Bull Bar | Stop 4t BTC | In B The Close, Stop 4 - 8 Ticks below Bull Bar | 在牛市收盘时，止损设在牛柱下方4-8个点：如果在牛市的收盘时进场做多，止损点应设在牛柱下方4-8个点，以避免小幅回调带来的风险。
In S The Close, Stop 4 - 8 Ticks above Bear Bar | Stop 4t STC | In S The Close, Stop 4 - 8 Ticks above Bear Bar | 在熊市收盘时，止损设在熊柱上方4-8个点：如果在熊市的收盘时进场做空，止损点应设在熊柱上方4-8个点，避免被小幅反弹止损。
Stop Slippage | Stop Slippage | Stop Slippage | 止损滑点：在价格快速波动时，止损单未能按预期价格执行，导致止损价偏离预定水平。
Stop that is Wider than Usual | Stop Wide | Stop that is Wider than Usual | 止损比平时更宽：在某些市场波动较大时，交易者可能会设置比平时更宽的止损范围，以避免在正常市场波动下过早止损。
Bull Streak (Bullish Behavior That Repeats for a Long Time) | Streak BL | Bull Streak (Bullish Behavior That Repeats for a Long Time) | 牛市持续性（长期重复的上涨行为）：价格表现出长时间的持续上涨趋势，表明市场处于强烈的牛市状态。
Bull Streak on Higher Time Frames | Streak BL HTF | Bull Streak on Higher Time Frames | 高时间框架上的牛市持续性：在较长时间周期（如周线或月线）上，市场表现出长时间的上涨趋势，表明整体市场的强劲上涨。
Bear Streak (Bearish Behavior That Repeats for a Long Time) | Streak BR | Bear Streak (Bearish Behavior That Repeats for a Long Time) | 熊市持续性（长期重复的下跌行为）：价格表现出长时间的持续下跌趋势，表明市场处于强烈的熊市状态。
Bear Streak on Higher Time Frames | Streak BR HTF | Bear Streak on Higher Time Frames | 高时间框架上的熊市持续性：在较长时间周期（如周线或月线）上，市场表现出长时间的下跌趋势，表明整体市场的强劲下行。
Swing Trading | Swing Trading | Swing Trading | 摆动交易：一种短期交易策略，利用市场的短期波动进行交易，通常持仓时间较短，从几个小时到几天不等。
Sell Climax | SX | Sell Climax | 卖出高潮：市场出现剧烈的卖压，价格迅速下跌，通常是卖盘最后的高潮，可能伴随反转信号。
Consecutive Sell Climaxes | SX CC | Consecutive Sell Climaxes | 连续卖出高潮：市场连续多次出现剧烈的卖压，可能表示卖方情绪极度悲观，市场可能会出现反弹。
Sell Climax, Then Deep Pullback (bounce) | SX Deep PB | Sell Climax, Then Deep Pullback (bounce) | 卖出高潮后深度回调（反弹）：在卖出高潮后，市场出现深度回调或反弹，表明卖方压力暂时减弱。
Sell Climax but Failed Reversal | SX F | Sell Climax but Failed Reversal | 卖出高潮但反转失败：在卖出高潮后，市场未能形成反转，而是继续下跌，未能形成反转信号。
Sell Climax that Led to Measured Move Up | SX MMU | Sell Climax that Led to Measured Move Up | 卖出高潮导致的测量性上涨：市场经历了一个剧烈的卖出高潮，之后反转并出现了较大的上涨，符合测量移动模式。
Sell Climax Yesterday | SX Y | Sell Climax Yesterday | 昨天的卖出高潮：指的是昨日市场出现的卖出高潮，可能影响今天的市场走势，成为参考信号。
14 | Takeover | Takeover | Takeover | 收购：指一种市场模式或情形，其中一方力量（如买盘或卖盘）显著主导市场，通常表示某种趋势或价格行为的完全接管。
Time Frames | TF | Time Frames | 时间框架：指不同的图表周期（如1分钟图、5分钟图、日线图、周线图等），交易者根据不同的时间框架来观察市场趋势与价格行为。
Ticks During Stock Market Crashes | Ticks Crash | Ticks During Stock Market Crashes | 股市崩盘时的价格波动：指在股市崩盘时，市场的价格波动（按点数或“ticks”计算）变得非常剧烈，通常是快速的剧烈下跌。
Ticks Below -1,000 in Bear Trend | Ticks D | Ticks Below -1,000 in Bear Trend | 熊市中价格波动低于-1,000点：在熊市趋势中，价格的波动幅度下跌超过1,000点，表明卖盘的力量非常强大，市场情绪极为悲观。
Ticks Below -1,000 and Reversal Up Without Divergence | Ticks D F | Ticks Below -1,000 and Reversal Up Without Divergence | 在熊市中价格波动低于-1,000点后反转上涨且没有背离：价格在熊市中下跌超过1,000点后，出现反转上涨，但没有背离的迹象，可能是一个反弹。
Ticks Reaching 1,000 During Bull Trend | Ticks U | Ticks Reaching 1,000 During Bull Trend | 在牛市中价格波动达到1,000点：在牛市中，市场的波动性增加，价格波动达到1,000点，通常表明市场的上涨动能强劲。
Ticks Reaching 1,000 and Reversal Down Without Divergence | Ticks U F | Ticks Reaching 1,000 and Reversal Down Without Divergence | 在牛市中价格波动达到1,000点后反转下跌且没有背离：市场上涨时，价格波动达1,000点后，出现反转下跌，但没有背离，可能是价格的短期回调。
Early Bear BO Based on Time (Many Bear Bars) | Time BO D | Early Bear BO Based on Time (Many Bear Bars) | 基于时间的早期熊市突破（多个熊柱）：指在一个特定时间范围内，市场形成多个熊市柱，标志着熊市的早期突破。
Early Bull BO Based on Time (Many Bull Bars) | Time BO U | Early Bull BO Based on Time (Many Bull Bars) | 基于时间的早期牛市突破（多个牛柱）：指在一个特定时间范围内，市场形成多个牛市柱，标志着牛市的早期突破。
Buy Climax Based on Many Small Bull Bars | Time BX | Buy Climax Based on Many Small Bull Bars | 基于多个小型牛市柱的买入高潮：当市场连续出现多个小型牛市柱时，可能预示着买入高潮，价格涨幅放缓，可能出现短期回调。
Sell Climax based Based on Many Small Bear Bars | Time SX | Sell Climax Based on Many Small Bear Bars | 基于多个小型熊市柱的卖出高潮：当市场连续出现多个小型熊市柱时，可能预示着卖出高潮，价格下跌放缓，可能出现短期反弹。
Breakout above Bear Trend Line | TL BO above BR TL | Breakout above Bear Trend Line | 突破熊市趋势线向上：价格突破了熊市趋势线，表明市场可能开始转为牛市，价格可能会进一步上涨。
Breakout below Bull Trend Line | TL BO below BL TL | Breakout below Bull Trend Line | 突破牛市趋势线向下：价格突破了牛市趋势线，表明市场可能开始转为熊市，价格可能会进一步下跌。
Trend Lines Not The Same On Different Time Frames | TL Different TF | Trend Lines Not The Same On Different Time Frames | 不同时间框架中的趋势线不一致：在不同时间框架（如日线与小时线）中，画出的趋势线可能会有所不同，因此需要综合考虑各时间框架的趋势。
Trend Line on Monthly Chart | TL Month | Trend Line on Monthly Chart | 月线图上的趋势线：在月线图上画出的趋势线，通常反映了长期市场趋势的方向，可以用来判断长期的支撑和阻力区域。
Trend Line Overshoots | TL Overshoots | Trend Line Overshoots | 趋势线过冲：价格突破趋势线并继续超出趋势线的范围，这种过冲通常是市场过度反应的信号，可能会导致价格回撤。
Trading Range Reversals, 2nd B and S Signals | TR 2BS 2SS | Trading Range Reversals, 2nd B and S Signals | 交易区间反转，第二次买入和卖出信号：在一个横盘整理区间内出现的反转模式，第二次买入或卖出信号通常可以用来确认市场反转的方向。
Trading Range Then Bull BO | TR BL BO | Trading Range Then Bull BO | 交易区间后出现牛市突破：价格在交易区间整理后，突破上方形成牛市，标志着市场上涨趋势的开始。
Trading Range Bull Swing and Then Bear Swing | TR BL then BR | Trading Range Bull Swing and Then Bear Swing | 交易区间中的牛市摆动后转为熊市摆动：在横盘整理区间内，价格先是上涨（牛市摆动），然后反转并转为下跌（熊市摆动）。
Trading Range Then Bear BO | TR BR BO | Trading Range Then Bear BO | 交易区间后出现熊市突破：价格在交易区间整理后，突破下方形成熊市，标志着市场下跌趋势的开始。
Trading Range Bear Swing and Then Bull Swing | TR BR then BL | Trading Range Bear Swing and Then Bull Swing | 交易区间中的熊市摆动后转为牛市摆动：在横盘整理区间内，价格先是下跌（熊市摆动），然后反转并转为上涨（牛市摆动）。
Tight Trading Range | TR Tight | Tight Trading Range | 紧缩交易区间：价格在一个狭窄的区间内波动，市场处于横盘整理阶段，通常预示着突破即将到来。
Tight Trading Range at 12:45 pm PST | TT Tight 12:45 | Tight Trading Range at 12:45 pm PST | 太平洋标准时间12:45的紧缩交易区间：指在特定时间（如12:45 PM PST）形成的紧缩区间，市场可能即将出现突破或反转。
Trader's Equation | Trader's Equation | Trader's Equation | 交易者方程式：一种用于评估市场条件和交易决策的方式，通常涉及风险与回报的平衡、市场情绪的判断等因素。
Trap Is a Failed BO or Failed Signal | Trap | Trap Is a Failed BO or Failed Signal | 陷阱是一个失败的突破或失败的信号：指市场的突破信号或交易信号未能持续，反而出现反转，通常会造成亏损。
2nd Leg Bull Trap (Failed Bull BO) | Trap 2LT BL | 2nd Leg Bull Trap (Failed Bull BO) | 第二腿牛市陷阱（失败的牛市突破）：在牛市中，价格突破未能维持上涨，形成了一个失败的牛市突破，导致市场反转。
2nd Leg Bull Trap, Failed | Trap 2LT BL F | 2nd Leg Bull Trap, Failed | 第二腿牛市陷阱，失败：在牛市中的第二次上涨尝试失败，价格未能突破上方阻力，导致市场反转。
2nd Leg Bear Trap (Failed Bear BO) | Trap 2LT BR | 2nd Leg Bear Trap (Failed Bear BO) | 第二腿熊市陷阱（失败的熊市突破）：在熊市中，价格尝试突破下方支撑未能成功，形成了一个失败的熊市突破，导致市场反转。
2nd Leg Bear Trap, Failed | Trap 2LT BR F | 2nd Leg Bear Trap, Failed | 第二腿熊市陷阱，失败：在熊市中的第二次下跌尝试失败，价格未能突破下方支撑，导致市场反转。
Traps, 5 Ticks, 9 Ticks, 17 Ticks, 21 ticks, 41 ticks, and 81 Ticks | Trap 5t 9t 17t 21t 41t 81t | Traps, 5 Ticks, 9 Ticks, 17 Ticks, 21 ticks, 41 ticks, and 81 Ticks | 5点、9点、17点、21点、41点和81点的陷阱：指价格在不同的波动幅度下形成的陷阱模式，通常这些小幅度的波动是失败的突破或反转信号。
Bull Trap | Trap BL | Bull Trap | 牛市陷阱：价格突破了看似形成的牛市信号，但未能持续上涨，最终形成反转，导致做多的投资者亏损。
Bull Trap Early in Bear Trend | Trap BL Early BR Trend | Bull Trap Early in Bear Trend | 熊市初期的牛市陷阱：在熊市的初期，市场出现了看似牛市的信号，但随后价格迅速反转下跌，导致投资者损失。
Bull Trap, but Failed and Bull Continued | Trap BL F | Bull Trap, but Failed and Bull Continued | 牛市陷阱，但失败后牛市继续：市场看似形成牛市陷阱，但反转未能持续，市场继续保持牛市趋势。
Bear Trap | Trap BR | Bear Trap | 熊市陷阱：价格突破了看似形成的熊市信号，但未能持续下跌，最终形成反转，导致做空的投资者亏损。
Bear Trap Early in Bull Trend | Trap BR Early BL Trend | Bear Trap Early in Bull Trend | 牛市初期的熊市陷阱：在牛市的初期，市场出现了看似熊市的信号，但随后价格迅速反转上涨，导致投资者损失。
Bear Trap, but Failed and Bear Continued | Trap BR F | Bear Trap, but Failed and Bear Continued | 熊市陷阱，但失败后熊市继续：市场看似形成熊市陷阱，但反转未能持续，市场继续保持熊市趋势。
15 | Trading Range Day | TRD | Trading Range Day | 交易区间日：指市场价格在一个较为狭窄的范围内波动，通常没有明显的趋势，价格来回震荡。
Trading Range Day with Late Bull Breakout | TRD BL BO | Trading Range Day with Late Bull Breakout | 交易区间日，晚期牛市突破：市场在交易区间内波动，并在交易结束时出现向上的牛市突破。
Trading Range Day with Failed Late Bull Breakout | TRD BL BO F | Trading Range Day with Failed Late Bull Breakout | 交易区间日，晚期牛市突破失败：市场在交易区间内波动，尝试在收盘时突破上涨，但该突破未能持续，失败回落。
Bull Leg In Trading Range Day | TRD BL Leg | Bull Leg In Trading Range Day | 交易区间日中的牛市波段：在交易区间日内，出现了一个明显的上涨波段，价格向上波动，表现为牛市行为。
Trading Range Day with Late Bear Breakout | TRD BR BO | Trading Range Day with Late Bear Breakout | 交易区间日，晚期熊市突破：市场在交易区间内波动，并在交易结束时出现向下的熊市突破。
Trading Range Day with Failed Late Bear Breakout | TRD BR BO F | Trading Range Day with Failed Late Bear Breakout | 交易区间日，晚期熊市突破失败：市场在交易区间内波动，尝试在收盘时突破下跌，但该突破未能持续，失败回升。
Bear Leg In Trading Range Day | TRD BR Leg | Bear Leg In Trading Range Day | 交易区间日中的熊市波段：在交易区间日内，出现了一个明显的下跌波段，价格向下波动，表现为熊市行为。
Trading Range with Midday Breakout Down | TRD Midday BO D | Trading Range with Midday Breakout Down | 交易区间，午盘突破下行：市场在交易区间内波动，并在午盘时突破向下，形成熊市信号。
Trading Range with Midday Breakout Up | TRD Midday BO U | Trading Range with Midday Breakout Up | 交易区间，午盘突破上涨：市场在交易区间内波动，并在午盘时突破向上，形成牛市信号。
Trading Range Day, Close near Open so Doji Day | TRD O Doji | Trading Range Day, Close near Open so Doji Day | 交易区间日，收盘接近开盘，因此为十字星日：市场开盘与收盘接近，形成十字星形态，显示市场的犹豫不决。
Trading Range Day, Open in Exact Middle of Day's Range | TRD O Middle | Trading Range Day, Open in Exact Middle of Day's Range | 交易区间日，开盘在当天价格范围的正中：市场开盘时处于当天波动范围的中间，表明市场不确定的态度。
Trading Range Day, Late Rally Up to Test Open | TRD O Test BL | Trading Range Day, Late Rally Up to Test Open | 交易区间日，晚间上涨测试开盘：市场在交易区间内波动，接近收盘时价格上涨，测试开盘位置。
Trading Range Day, Late Selloff Down to Test Open | TRD O Test BR | Trading Range Day, Late Selloff Down to Test Open | 交易区间日，晚间下跌测试开盘：市场在交易区间内波动，接近收盘时价格下跌，测试开盘位置。
Trading Range Doji on Weekly Chart | TRD OOW Doji | Trading Range Doji on Weekly Chart | 每周图表中的交易区间十字星：在每周图表上，出现了十字星形态，通常表明市场的犹豫或平衡状态。
Trading Range with 2 Support Levels Below or 2 Resistance Levels Above | TRD S/R x2 | Trading Range with 2 Support Levels Below or 2 Resistance Levels Above | 交易区间，下面有两个支撑位或上面有两个阻力位：市场在交易区间内波动，且区间的上下存在两个明显的支撑或阻力水平。
Small Day | TRD Small Day | Small Day | 小幅波动日：市场价格波动较小，通常表示市场缺乏明确的方向，交易者可以预期短期内不会出现大幅波动。
TR Day, Small Day Then Breakout and MM | TRD Small Then MM | TR Day, Small Day Then Breakout and MM | 交易区间日，小幅波动后突破并形成测量走势：市场价格在一个狭窄区间内震荡后，突破并形成明显的趋势，通常伴随着测量走势的形成。
Trend: Bull | Trend BL | Trend: Bull | 趋势：牛市：市场处于上涨趋势中，价格整体呈现上涨的状态。
Bull Trend on Daily Chart | Trend BL Daily | Bull Trend on Daily Chart | 日图上的牛市趋势：日图上显示出价格处于上涨的牛市趋势中。
Trend: Bear | Trend BR | Trend: Bear | 趋势：熊市：市场处于下跌趋势中，价格整体呈现下跌的状态。
Bear Trend on Daily Chart | Trend BR Daily | Bear Trend on Daily Chart | 日图上的熊市趋势：日图上显示出价格处于下跌的熊市趋势中。
Trending Bull Closes | Trending BL C | Trending Bull Closes | 牛市的收盘：在牛市中，价格的收盘通常高于开盘，显示出上涨趋势的延续。
Trending Bear Closes | Trending BR C | Trending Bear Closes | 熊市的收盘：在熊市中，价格的收盘通常低于开盘，显示出下跌趋势的延续。
Trend Resumption Down | TRES D | Trend Resumption Down | 趋势恢复下行：市场在经过短期的反弹后，继续恢复原有的下行趋势。
Trend Resumption Down Failed and Reversed Up | TRES D F | Trend Resumption Down Failed and Reversed Up | 趋势恢复下行失败并反转向上：市场尝试恢复下行趋势，但未能成功，价格反转向上。
Trend Resumption Up | TRES U | Trend Resumption Up | 趋势恢复上涨：市场在经过短期的回调后，继续恢复原有的上涨趋势。
Trend Resumption Up Failed and Reversed Down | TRES U F | Trend Resumption Up Failed and Reversed Down | 趋势恢复上涨失败并反转向下：市场尝试恢复上涨趋势，但未能成功，价格反转向下。
Trend Reversal Down | TREV D | Trend Reversal Down | 趋势反转向下：市场的趋势由上涨转为下跌，出现明显的价格反转。
Trend Reversal Down Failed | TREV D F | Trend Reversal Down Failed | 趋势反转向下失败：市场试图由上涨转为下跌，但该反转未能成功，价格重新上涨。
Trend Reversal Up | TREV U | Trend Reversal Up | 趋势反转向上：市场的趋势由下跌转为上涨，出现明显的价格反转。
Trend Reversal Up Failed and Reversed Down | TREV U F | Trend Reversal Up Failed and Reversed Down | 趋势反转向上失败并反转向下：市场试图由下跌转为上涨，但该反转未能成功，价格重新下跌。
Triangle, Bear Breakout | Tri BR BO | Triangle, Bear Breakout | 三角形，熊市突破：市场形成三角形整理形态后，价格突破下行，形成熊市信号。
Triangle, Failed Bear Breakout | Tri BR BO F | Triangle, Failed Bear Breakout | 三角形，失败的熊市突破：市场形成三角形整理形态后，尝试突破下行，但突破失败，价格反转。
Triangle, Bull Breakout | Tri BL BO | Triangle, Bull Breakout | 三角形，牛市突破：市场形成三角形整理形态后，价格突破向上，形成牛市信号。
Triangle, Failed Bull Breakout | Tri BL BO F | Triangle, Failed Bull Breakout | 三角形，失败的牛市突破：市场形成三角形整理形态后，尝试突破向上，但突破失败，价格反转。
Expanding Triangle | Tri Expanding | Expanding Triangle | 扩展三角形：市场价格形成扩展型三角形整理形态，价格波动逐渐增大，通常预示着价格的爆发。
Failed Expanding Triangle | Tri Expanding F | Failed Expanding Triangle | 失败的扩展三角形：市场形成扩展三角形整理形态后，价格未能突破，形成失败信号。
Triple Bottom | Triple Bottom | Triple Bottom | 三重底：市场价格三次下探并形成相似的低点，通常表明支撑位强劲，可能预示着反转上涨。
Triple Top | Triple Top | Triple Top | 三重顶：市场价格三次上探并形成相似的高点，通常表明阻力位强劲，可能预示着反转下跌。
Trending Trading Range Day Down | TTRD D | Trending Trading Range Day Down | 趋势交易区间日下行：市场价格在交易区间内呈现下行趋势，价格整体下跌。
Trending Trading Range Day Down, Then Bull Breakout | TTRD D BL BO | Trending Trading Range Day Down, Then Bull Breakout | 趋势交易区间日下行后出现牛市突破：市场价格在交易区间内下跌，然后出现强劲的向上突破，形成牛市。
Trending Trading Range Day Down, Then Bear Breakout | TTRD D BR BO | Trending Trading Range Day Down, Then Bear Breakout | 趋势交易区间日下行后出现熊市突破：市场价格在交易区间内下跌，然后出现强劲的向下突破，形成熊市。
Trending Trading Range Day Up | TTRD U | Trending Trading Range Day Up | 趋势交易区间日上涨：市场价格在交易区间内呈现上涨趋势，价格整体上涨。
Trending Trading Range Day Up, Then Bull Breakout | TTRD U BL BO | Trending Trading Range Day Up, Then Bull Breakout | 趋势交易区间日上涨后出现牛市突破：市场价格在交易区间内上涨，然后突破向上，形成牛市。
Trend Trading Range Up, Then Bear Breakout | TTRD U BR BO | Trend Trading Range Up, Then Bear Breakout | 趋势交易区间上涨后出现熊市突破：市场价格在交易区间内上涨，然后突破向下，形成熊市。
V-Bottom | V-Bottom | V-Bottom | V型底：市场价格迅速下跌后迅速反弹，形成V型底形态，通常预示着反转上涨。
V-Bottom Failed | V-Bottom F | V-Bottom Failed | V型底失败：市场形成V型底后未能维持上涨，价格再次下跌，形成失败的反转信号。
V-Top | V-Top | V-Top | V型顶：市场价格迅速上涨后迅速下跌，形成V型顶形态，通常预示着反转下跌。
V-Top Failed | V-Top F | V-Top Failed | V型顶失败：市场形成V型顶后未能维持下跌，价格再次上涨，形成失败的反转信号。
Vacuum Test Selloff To Support | Vacuum Test D | Vacuum Test Selloff To Support | 真空测试卖盘至支撑：市场在短时间内快速下跌，测试支撑位。
Vacuum Test Rally To Resistance | Vacuum Test U | Vacuum Test Rally To Resistance | 真空测试反弹至阻力：市场在短时间内快速上涨，测试阻力位。
16 | Wedge Bottom, 2nd Buy Signal | W D 2BS | Wedge Bottom, 2nd Buy Signal | 锥形底部，第二个买入信号：价格形成锥形底部结构后，出现第二次买入信号，通常意味着价格将进一步上涨。
Wedge Bottom, Bad Shape | W D Bad Shape | Wedge Bottom, Bad Shape | 锥形底部，形态不良：价格形成的锥形底部形态不符合典型的底部结构，可能预示着反转不强或会失败。
Wedge Bottom | W D BL BO | Wedge Bottom | 锥形底部：市场形成的底部形态呈现出锥形，通常代表市场底部的形成，并可能伴随价格反转向上。
Wedge Bottom, but Bull Breakout Failed | W D BL BO F | Wedge Bottom, but Bull Breakout Failed | 锥形底部，但牛市突破失败：价格在锥形底部结构中突破上涨，但该突破未能持续，价格未能维持牛市，反转回落。
Wedge Bottom but Bear BO or TR | W D BR BO or TR | Wedge Bottom but Bear BO or TR | 锥形底部，但熊市突破或震荡区间：在锥形底部结构中，价格突破下行或进入震荡区间，暗示熊市可能出现。
Wedge Bottom, but Bear BO Failed, Reversed Up | W D BR BO F | Wedge Bottom, but Bear BO Failed, Reversed Up | 锥形底部，但熊市突破失败，反转向上：价格在锥形底部中尝试突破下行，但该突破失败，市场随后反转上涨。
Wedge Bottom With Double Bottom | W D DB | Wedge Bottom With Double Bottom | 锥形底部伴随双重底：市场形成锥形底部结构，并且在同一区域形成了双重底形态，增强了支撑位的强度。
Wedge Bottom With Double Bottom, but Bear Breakout | W D DB F | Wedge Bottom With Double Bottom, but Bear Breakout | 锥形底部伴随双重底，但出现熊市突破：虽然锥形底部结构和双重底形态给出了支撑信号，但价格仍然出现突破下行的熊市行为。
Wedge Bottom Nested in Bigger Wedge Bottom | W D Nested | Wedge Bottom Nested in Bigger Wedge Bottom | 嵌套在更大锥形底部中的锥形底：在一个较大的锥形底部结构中，出现了一个较小的锥形底部，通常表示更大的趋势反转的开始。
Parabolic Wedge Bottom | W D P | Parabolic Wedge Bottom | 抛物线型锥形底：价格的下跌后急速反弹，形成类似抛物线的锥形底部结构，通常伴随较强的反转上涨。
Parabolic Wedge Bottom, 2nd Buy Signal | W D P 2BS | Parabolic Wedge Bottom, 2nd Buy Signal | 抛物线型锥形底，第二个买入信号：价格在形成抛物线型锥形底部后，出现第二次买入信号，预示着反转上涨的强烈可能。
Parabolic Wedge Bottom, but Bear Breakout | W D P F | Parabolic Wedge Bottom, but Bear Breakout | 抛物线型锥形底，但熊市突破：尽管形成了抛物线型锥形底部，但价格仍突破下行，形成熊市信号。
Wedge Bottom, but Tight Bear Channel | W D TC | Wedge Bottom, but Tight Bear Channel | 锥形底部，但狭窄熊市通道：价格形成锥形底部结构，但整体趋势呈现出狭窄的熊市通道，显示出熊市势头。
Wedge Bottom, but Truncated | W D Truncated | Wedge Bottom, but Truncated | 锥形底部，但截断：锥形底部未完全形成，形成不完整的形态，预示着反转的可能性减弱或失败。
Wedge Bottom, Truncated, but Failed | W D Truncated F | Wedge Bottom, Truncated, but Failed | 锥形底部，截断且失败：锥形底部未完全形成，并且该形态失败，价格未能反转上涨。
Wedge Top, 2nd Sell Signal | W U 2SS | Wedge Top, 2nd Sell Signal | 锥形顶部，第二个卖出信号：价格形成锥形顶部结构后，出现第二次卖出信号，暗示可能会出现价格下跌。
Wedge Top, Bad Shape | W U Bad Shape | Wedge Top, Bad Shape | 锥形顶部，形态不良：锥形顶部结构的形成不规范，可能表明反转信号不强或突破不持续。
Wedge Top but Bull BO or TR | W U BL BO or TR | Wedge Top but Bull BO or TR | 锥形顶部，但牛市突破或震荡区间：价格形成锥形顶部后突破上涨或进入震荡区间，这暗示了市场上升的潜力。
Wedge Top, but Bull Breakout Failed, Reversed Down | W U BL BO F | Wedge Top, but Bull Breakout Failed, Reversed Down | 锥形顶部，但牛市突破失败，反转向下：尽管锥形顶部结构暗示下跌，但价格突破上涨失败，随即反转向下形成熊市。
Wedge Top | W U BR BO | Wedge Top | 锥形顶部：市场形成的顶部结构呈现出锥形，通常预示着价格的反转下跌。
Wedge Top, but Bear Breakout Failed | W U BR BO F | Wedge Top, but Bear Breakout Failed | 锥形顶部，但熊市突破失败：价格在锥形顶部中突破下行，但该突破未能维持，价格随之反转向上。
Wedge Top With Double Top | W U DT | Wedge Top With Double Top | 锥形顶部伴随双重顶：在锥形顶部结构中形成双重顶形态，增强了顶部信号，预示着价格反转下跌的可能性。
Wedge Top With Double Top, but Bull Breakout | W U DT F | Wedge Top With Double Top, but Bull Breakout | 锥形顶部伴随双重顶，但牛市突破：虽然形成了锥形顶部和双重顶形态，但价格突破向上，形成牛市。
Wedge Top Nested in Bigger Wedge Top | W U Nested | Wedge Top Nested in Bigger Wedge Top | 嵌套在更大锥形顶部中的锥形顶部：在一个较大的锥形顶部结构中出现一个较小的锥形顶部，预示着更大范围的价格反转。
Parabolic Wedge Top | W U P | Parabolic Wedge Top | 抛物线型锥形顶部：价格的急速上涨后出现反转，形成抛物线型的锥形顶部结构，通常意味着价格将开始下跌。
